threshold,precision,recall,f1,accuracy
0.0,0.69,1.0,0.82,0.69
0.05,0.69,1.0,0.82,0.69
0.1,0.69,1.0,0.82,0.69
0.15,0.69,1.0,0.82,0.69
0.2,0.69,1.0,0.82,0.69
0.25,0.69,1.0,0.82,0.69
0.3,0.69,1.0,0.82,0.69
0.35,0.7,1.0,0.82,0.7
0.4,0.78,1.0,0.88,0.8
0.45,0.82,1.0,0.9,0.85
0.5,0.82,1.0,0.9,0.85
0.55,0.82,1.0,0.9,0.85
0.6,0.83,1.0,0.9,0.85
0.65,0.82,0.99,0.9,0.85
0.7,0.84,0.88,0.86,0.8
0.75,0.85,0.39,0.53,0.53
0.8,1.0,0.01,0.02,0.32
0.85,0.0,0.0,0.0,0.31
0.9,0.0,0.0,0.0,0.31
0.95,0.0,0.0,0.0,0.31
1.0,0.0,0.0,0.0,0.31
